127.0.0.1 - - [27/Jun/2020:22:53:25 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:27 +0700] "GET /Tourism/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 8927
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:30 +0700] "GET /Tourism/template/image/anh8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:31 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:41 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:53:41 +0700] "GET /Tourism/template/web/css/hotel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2020:22:56:18 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:02:03 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 7215
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:03:23 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 7245
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:33 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 6659
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:27:51 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 6778
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:04 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 6778
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:28:40 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 6778
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:39:36 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 7477
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:40:41 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 7477
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:41:49 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 7672
0:0:0:0:0:0:0:1 - - [27/Jun/2020:23:42:41 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 7867
