127.0.0.1 - - [23/Jun/2020:21:55:15 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:16 +0700] "GET /Tourism/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 8917
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /Tourism/template/image/anh5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:19 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:52 +0700] "GET /Tourism/khach-san?action=khachsan&page=1&maxPage=5&BusinessID=&type=&sortName=TotalPrice&sortBy=DESC HTTP/1.1" 200 10370
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:52 +0700] "GET /Tourism/template/web/css/hotel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:52 +0700] "GET /Tourism/template/image/anh20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:52 +0700] "GET /Tourism/template/image/anh15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:52 +0700] "GET /Tourism/template/image/anh17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:52 +0700] "GET /Tourism/template/image/anh16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:55:52 +0700] "GET /Tourism/template/image/anh18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:56:09 +0700] "GET /Tourism/khach-san?sortBy=DESC&BusinessID=&find=&page=1&maxPage=5&sortName=TotalPrice&action=khachsan HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [23/Jun/2020:21:56:17 +0700] "GET /Tourism/khach-san?sortBy=DESC&BusinessID=1&find=&page=1&maxPage=5&sortName=TotalPrice&action=khachsan HTTP/1.1" 500 1766
0:0:0:0:0:0:0:1 - - [23/Jun/2020:22:01:16 +0700] "GET /Tourism/khach-san?sortBy=DESC&BusinessID=1&find=&page=1&maxPage=5&sortName=TotalPrice&action=khachsan HTTP/1.1" 500 1766
